video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=r-_OmKXWYfM&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZdIHCQmHCgGHKiGM7w%3D%3D,/@EVPulse,EV Pulse,Who Needs Level 2 EV Charging at Home?,556K,2 years,"So, you just bought an electric vehicle. Congratulations! But now you've got to decide if you should invest in a Level 2 charger.",2026-01-21 22:43:29.266766
/watch?v=0cgDkUVQikI&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@Carscom,Cars.com,EV Home Charging for Beginners,326K,3 years,"We tell you what beginners need to know about EV home chargers, break down what distinguishes them and explain why you ...",2026-01-21 22:43:29.268546
/watch?v=sBTxLK1QC6M&t=2075s&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@StateOfChargeWithTomMoloughney,State Of Charge,The Best EV Chargers Of 2025,57K,2 months,"After thoroughly using and testing dozens of electric vehicle chargers, these are my picks for the best EV chargers of 2025.",2026-01-21 22:43:29.270305
/watch?v=lhVdjKbqunw&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@evchargerguy,EV Charger Guy,These Are The Best Selling EV Chargers at Home in 2025,14K,1 year,"Links to the Best Selling EV Chargers at Home in 2025 are listed below. At EV Charger Guy, we've researched the Best Selling ...",2026-01-21 22:43:29.271742
/watch?v=3_MocBN67a8&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@vegasteslacarmen,Vegas Tesla Carmen,Tesla Home Charging for Beginners: All Options Explained,221K,9 months,Buying a new Tesla? Use our referral link to save up to $1000 off your purchase: https://www.tesla.com/referral/carmen440496 (if ...,2026-01-21 22:43:29.272583
/watch?v=87joDusz_ic&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@thisoldhouse,This Old House,How to Install an EV Charger | Ask This Old House,339K,1 year,"In this video, When a homeowner grew tired of her Level 1 charger at home, she called the team at Ask This Old House for help.",2026-01-21 22:43:29.275307
/watch?v=_YcnMRSqdtE&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@thisoldhouse,This Old House,Electrical Vehicle Chargers Explained | Ask This Old House,316K,3 years,"In this video, This Old House master electrician Heath Eastman teaches host Kevin O'Connor everything he (or anyone else) ...",2026-01-21 22:43:29.276639
/watch?v=Me4aaKYPmy4&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@EVPulse,EV Pulse,Is the Included EV Charger Good Enough?,19K,2 years,"So, you need a Level 2 charger for your electric vehicle, but what's the best option? Is something with a NEMA 6-20 plug good ...",2026-01-21 22:43:29.278528
/watch?v=InErev1Y5sY&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@scottmckenna,Scott McKenna,How Much Does It ACTUALLY Cost to Charge an EV?,349K,1 year,How much does it cost to charge an EV? That's the most common question I get from anyone I talk with. I was actually surprised ...,2026-01-21 22:43:29.280504
/watch?v=q2T6RZYfmAI&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@AllElectricFamily,All Electric Family,Can you charge an EV at home? | 3 Tips for charging an electric vehicle at home,2.4K,2 years,Are you considering buying an electric vehicle or just brought home an EV and are wondering about charging at home? We've got ...,2026-01-21 22:43:29.281977
/watch?v=B60Vyz6u1ZY&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@davetakesiton,Dave Takes It On,The Ultimate Top 5 Guide For EV Home Charging,19K,3 months,"Discover the ultimate top 5 guide for EV home charging, designed to help you navigate the process of setting up a home charger ...",2026-01-21 22:43:29.284429
/watch?v=Turt1YaZncI&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@EVeverything,EV Everything,Charging Your EV at Home,348K,9 years,NEW & Updated Version of this Video: https://www.youtube.com/watch?v=iEfT9pdsyGE *** The majority of EV charging occurs at ...,2026-01-21 22:43:29.285844
/watch?v=edqfXbwDGdw&pp=ygUTRVYgY2hhcmdpbmcgYXQgaG9tZQ%3D%3D,/@StateOfChargeWithTomMoloughney,State Of Charge,How Many Amps Do You Need For Home EV Charging?,776K,2 years,How many amps does your home EV charger need? I take a look at the different factors you need to consider when buying a ...,2026-01-21 22:43:29.287284
